Year,Statistic,Subject,Value
2022,count,sbd,995441.0
2022,mean,sbd,27596920.193756334
2022,std,sbd,19170923.3561306
2022,min,sbd,1000001.0
2022,25%,sbd,10002171.0
2022,50%,sbd,28018864.0
2022,75%,sbd,44005824.0
2022,max,sbd,64006588.0
2022,count,toan,982726.0
2022,mean,toan,6.466254072854491
2022,std,toan,1.6754353321396855
2022,min,toan,0.0
2022,25%,toan,5.4
2022,50%,toan,6.8
2022,75%,toan,7.8
2022,max,toan,10.0
2022,count,ngu_van,981407.0
2022,mean,ngu_van,6.5077457364783395
2022,std,ngu_van,1.379601895965237
2022,min,ngu_van,0.0
2022,25%,ngu_van,5.58
2022,50%,ngu_van,6.5
2022,75%,ngu_van,7.5
2022,max,ngu_van,10.0
2022,count,ngoai_ngu,870609.0
2022,mean,ngoai_ngu,5.157686401128404
2022,std,ngoai_ngu,1.9495474568318674
2022,min,ngoai_ngu,0.0
2022,25%,ngoai_ngu,3.6
2022,50%,ngoai_ngu,4.8
2022,75%,ngoai_ngu,6.6
2022,max,ngoai_ngu,10.0
2022,count,vat_li,325523.0
2022,mean,vat_li,6.7237791185261875
2022,std,vat_li,1.4419252633650625
2022,min,vat_li,0.0
2022,25%,vat_li,5.75
2022,50%,vat_li,7.0
2022,75%,vat_li,7.75
2022,max,vat_li,10.0
2022,count,hoa_hoc,327367.0
2022,mean,hoa_hoc,6.703898071583269
2022,std,hoa_hoc,1.6003930712214827
2022,min,hoa_hoc,0.0
2022,25%,hoa_hoc,5.5
2022,50%,hoa_hoc,7.0
2022,75%,hoa_hoc,8.0
2022,max,hoa_hoc,10.0
2022,count,sinh_hoc,322198.0
2022,mean,sinh_hoc,5.01910859161137
2022,std,sinh_hoc,1.4482701031058363
2022,min,sinh_hoc,0.0
2022,25%,sinh_hoc,4.0
2022,50%,sinh_hoc,4.75
2022,75%,sinh_hoc,6.0
2022,max,sinh_hoc,10.0
2022,count,lich_su,659662.0
2022,mean,lich_su,6.343929542705204
2022,std,lich_su,1.6128785745691276
2022,min,lich_su,0.0
2022,25%,lich_su,5.25
2022,50%,lich_su,6.5
2022,75%,lich_su,7.5
2022,max,lich_su,10.0
2022,count,dia_li,657421.0
2022,mean,dia_li,6.67792936337598
2022,std,dia_li,1.2150133562803107
2022,min,dia_li,0.0
2022,25%,dia_li,5.75
2022,50%,dia_li,6.75
2022,75%,dia_li,7.5
2022,max,dia_li,10.0
2022,count,gdcd,554343.0
2022,mean,gdcd,8.033266407260486
2022,std,gdcd,1.0672721751320449
2022,min,gdcd,0.0
2022,25%,gdcd,7.5
2022,50%,gdcd,8.25
2022,75%,gdcd,8.75
2022,max,gdcd,10.0
2022,count,khtn,318685.0
2022,mean,khtn,6.137008331110659
2022,std,khtn,1.102177753539719
2022,min,khtn,0.0
2022,25%,khtn,5.416666666666667
2022,50%,khtn,6.25
2022,75%,khtn,6.916666666666667
2022,max,khtn,9.666666666666666
2022,count,khxh,554090.0
2022,mean,khxh,7.088251006154235
2022,std,khxh,1.0868773423219342
2022,min,khxh,1.0833333333333333
2022,25%,khxh,6.416666666666667
2022,50%,khxh,7.166666666666667
2022,75%,khxh,7.833333333333333
2022,max,khxh,10.0
2023,count,sbd,1022060.0
2023,mean,sbd,27538630.361107957
2023,std,sbd,19155780.063728258
2023,min,sbd,1000001.0
2023,25%,sbd,10001285.75
2023,50%,sbd,28015580.5
2023,75%,sbd,44006205.25
2023,max,sbd,64006937.0
2023,count,toan,1003373.0
2023,mean,toan,6.250557469654856
2023,std,toan,1.6333359071731997
2023,min,toan,0.0
2023,25%,toan,5.2
2023,50%,toan,6.6
2023,75%,toan,7.6
2023,max,toan,10.0
2023,count,ngu_van,1008239.0
2023,mean,ngu_van,6.858193920290723
2023,std,ngu_van,1.3264706479824535
2023,min,ngu_van,0.0
2023,25%,ngu_van,6.0
2023,50%,ngu_van,7.0
2023,75%,ngu_van,7.75
2023,max,ngu_van,10.0
2023,count,ngoai_ngu,880997.0
2023,mean,ngoai_ngu,5.462410428185339
2023,std,ngoai_ngu,1.9663531727085009
2023,min,ngoai_ngu,0.0
2023,25%,ngoai_ngu,4.0
2023,50%,ngoai_ngu,5.2
2023,75%,ngoai_ngu,7.0
2023,max,ngoai_ngu,10.0
2023,count,vat_li,327189.0
2023,mean,vat_li,6.57389994773663
2023,std,vat_li,1.4868186063831075
2023,min,vat_li,0.0
2023,25%,vat_li,5.5
2023,50%,vat_li,6.75
2023,75%,vat_li,7.75
2023,max,vat_li,10.0
2023,count,hoa_hoc,328118.0
2023,mean,hoa_hoc,6.744645981019024
2023,std,hoa_hoc,1.4284676902382774
2023,min,hoa_hoc,0.0
2023,25%,hoa_hoc,5.75
2023,50%,hoa_hoc,7.0
2023,75%,hoa_hoc,7.75
2023,max,hoa_hoc,10.0
2023,count,sinh_hoc,324625.0
2023,mean,sinh_hoc,6.394932614555256
2023,std,sinh_hoc,1.2067717357380605
2023,min,sinh_hoc,0.0
2023,25%,sinh_hoc,5.5
2023,50%,sinh_hoc,6.5
2023,75%,sinh_hoc,7.25
2023,max,sinh_hoc,10.0
2023,count,lich_su,683447.0
2023,mean,lich_su,6.025629273374527
2023,std,lich_su,1.5529305942496907
2023,min,lich_su,0.0
2023,25%,lich_su,5.0
2023,50%,lich_su,6.0
2023,75%,lich_su,7.25
2023,max,lich_su,10.0
2023,count,dia_li,682134.0
2023,mean,dia_li,6.147522700818314
2023,std,dia_li,1.1687316558417937
2023,min,dia_li,0.0
2023,25%,dia_li,5.5
2023,50%,dia_li,6.25
2023,75%,dia_li,7.0
2023,max,dia_li,10.0
2023,count,gdcd,565452.0
2023,mean,gdcd,8.285804542206943
2023,std,gdcd,1.1376376545904523
2023,min,gdcd,0.0
2023,25%,gdcd,7.75
2023,50%,gdcd,8.5
2023,75%,gdcd,9.25
2023,max,gdcd,10.0
2023,count,khtn,322540.0
2023,mean,khtn,6.568933310597135
2023,std,khtn,1.015150376443695
2023,min,khtn,1.1666666666666667
2023,25%,khtn,5.916666666666667
2023,50%,khtn,6.666666666666667
2023,75%,khtn,7.333333333333333
2023,max,khtn,9.666666666666666
2023,count,khxh,565243.0
2023,mean,khxh,6.883707685603065
2023,std,khxh,1.0747777462478538
2023,min,khxh,0.0
2023,25%,khxh,6.166666666666667
2023,50%,khxh,6.916666666666667
2023,75%,khxh,7.666666666666667
2023,max,khxh,10.0
